,utterance,classes,prompt,EleutherAI/gpt-j-6B
805,is there a problem with receiving my salary in gbp?,"['receiving salary', 'receiving salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","salary received
pay salary 

A:
         ‘‍ ‏‑​‚- - -‒ — - -- - —‗--
    ’’ „ ‟ † ‡  §“‣‥‧ ‰¶‷◊○◎●◐◑◒◓←↑↓→↔↲↳
0"
806,do i need to choose gbp to get my salary deposited properly?,"['choose ', 'deposited salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I am getting the below error for the 2 utterances. Can someone please help me understand the reason for this? Please let me know if any further info is required and if someone can share a sample script too it would be helpful. Thank you.  

  [{
  ""intent"":""Choose"",
""text"":""choose the next option"",  //This is from my own script. I think the bot is unable to understand this
 ""context"":{""source"":""TEST_CONTEXT_ID"", //here context is missing
}
,""metadata"":{""score"":0.0}}]

A:"
807,i get paid in gbp should i configure this and if so where?,"['configure ', 'configure ']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Run the intent. A response containing the configuration will be returned. The configured
  bot will then run. In the future, the bot can be invoked via the configure intent without
 the need to pass user utterances. Note: In some cases, configuration data may be provided in
 a message that wasn't provided by the user. This intent is the only one that will allow you to
 process such input, but please don't write code that requires this. Instead, create custom
 intents to handle these scenarios."
808,is it possible for me to get money out in a different currency?,"['get money', 'different currency', 'get currency']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
There are two different options to use intent. Choose one which gives you best accuracy. If you want to know more about using intent, you can refer this
https://developers.google.com/assistant/conversation/overview
http://google-developer-console.appspot. com/home
Also you may want refer to my blog https://www.learn-how.net/2017-08/how-to-recognize-intent-in-assist-api/"
809,can i use this to receive my salary?,"['receive salary', 'receive salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get salary details
pay my pay

How can i implement this? Please provide me the code in python. 
I am able to get the intent by ""reuse the pre-trained intent"" but not able get all the details from it. I am a beginner so please guide me how to achieve this. Thank you. Please check and answer my queries. Thanks. Any help will be highly appreciated. The link for the tutorial is - https://cloud.google.com/dialect-training/docs/quickstarts/python/intents  .  I tried to understand from this but still cannot understand this and how it works. Kindly clarify me in detail. It would be much appreciated if any one could provide an example code to make understand easily.Thanks in advance
The code I have implemented from the link  is as follows
  import googleapiclient.discovery

  # Initialize the Cloud API client
 client = google.cloud import language
 location = ""US""
 api_key = """" 

 def build_request():
 # Build a base request. Request must include the session's
 request = lang.detect_google_language()
 session = language.DetectSession(
 language_model_path=""saved_models/{}.bin"".format(location),
 )

 # Request includes the model, but session must be provided
 params={
 'language_code': location,
 }

 request_uri = f""""""{location}/v2/tasks""""""
 return session, request, parameters

 session_id = build(build_strategy, build=build,  **params)

 return client.credentials_for_service(service=session_url), session.name
 build() looks like this
def build():

 client=lang.get_client()

 if not client:
 raise RuntimeError(""google cloud API is not initialized"")

 params=dict(language=location)
 uri=""https://language.todos.io/text-analytics/api/detection/async""

 try:

 r = client(uri=uri, params.update(**params))

 for response in r.execute():  print(response.body)  return
 except (errors.HttpError,"
810,my salary is received in the form of gbp do i need to do anything specific to configure this?,"['configure ', 'anything specific', 'configure gbp']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Thanks for taking time to review my code. Any comments and advice is highly appreciated as I am a novice programmer. Thank you and god bless :)
   def get_payroll(name):
if 'gbp' in pay:
pay = pay['gb']
print(pay)
elif  'usd'  in  pay :
import requests
url =  ""https://www.paypal.com/cgi-bin/webscr""
user = 'xxx'
passw = ""xxx""  # your paypal username and password
data = {'cmd':'_xclick',
 'business':business_name,
'source':source,#your source
'amt':amount, # this is in gb of course
'mail' :'xxx@xxxx.co.uk', 'ppreference_email':email, 'currency_code':currency
}
r = requests.post(url, data = data, auth=('username', password))
return(r.text) 

  getpay  = get('https:' + str(business) + ""/cgi/pcauth.dll/GetTransactions"",
headers={'authorization':user,passwd})  <=== here i get stuck with error
totalsplit = json.loads(getpay.content)

 def  convert(jsonfile,convertfile):

 totaplen = len(totaplist) # totallist contain list which contains the sum  of each  transaction
 for transaction in totapList:

 for item in jsonfile: #each list of pay  contains one transaction as json list

 if item[transaction.item]:  <= here this list contains pay for each transaction

 else:  <- here the error occurs  that is if the transaction is null, then the  corresponding pay is  ignored or null  not  taken into account  for adding the other pay

 convert_list = []
 convert = convertfile

 # for loop to get the data

 sum_data=[] # here list to contain the total sum of all the transactions in one  single  list
 sum = 0
 i"
811,how do people send me money?,"['send money', 'send money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get money_id
Get money and then return money. 
{
   ""intent"": ""sendMoney"",
""parameters"": {
},

}
Here's an example of an utter and the intent:"
812,is gbp a supported currency?,"['supported currency', 'supported currency']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","currency
price
quantity
amount

I am able to understand supported and price, but i cant figure out what to fill in for quantiy and amount, any pointers would be appreciated
Thanks in advance. 
Code:
import nltk
from numpy import argmax
nlp = nlptk.data.load('en_wikipedia_100d')
doc_list = [i.text for i in l]
def is_support(s, c):
   return c in c_vocab  #c = token
result = [(sentence,c_v_map[c]) for sentence in doc_dict  if c == argmin(cvmap.values())]
print (result)
return nlp(result, mode = ""search"")
sentences = ['This is a product. It costs $10.00 to $200 per unit.']  ; document=sentenses[0] ; c = 'unit'
cvc = []
for c, v in nlc_to_cxcv(documents):  cvc.append(list(dict(zip(nlt.pos_tag_sg(i[:5], pos_tags='pos',tag=posTagger, tagger=n,
lowercase=True) for (doc,i,j) in enumerate(nlc)) for d in v.split()))))
v = c[int(argmax(map(lambda x:x[1], cvcc[3])))] #v[4] = $100
if isinstance(v, list): v = sum((int((i*100))/100 for inti in [lst[2] for lst in[v]]),)  v=int (v) +1
else: v+=1  print(str(sent[-1]) + ',' + str(int_val))
with open('/root/Desktop/support.csv', 'w') as f :  f.writelines( [str (s)+ '\t'+ str(((float (int ((s[i].split("" "" )[8]))) * 100
/ 100 ) + int ((float( int_value)) / ("
813,do i need to establish i am paid in gbp before a transfer?,['paid transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","pay to
transfer money to another person

Thank you!
UPDATE
I have changed the input, it now gives me the below response.  
i am not a bot, help
  {
""response"": [{
	""doc_type"": 2,
}],
{  ""doc"" : {},  } }
Parsed:
[
Object
(
)
]
Response:

 { ""response"" [ [  ] ] }  response: [
Doc_Type
2
 ]"
814,salary in gbp has been received does it need to be configured elsewhere?,['configured salary'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get salary for the current month
set salary in the previous month or for some other month based
on
the above two inputs

A:"
815,how do i get my salary in the account?,"['get salary', 'get account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","print salary 
How can a human achieve this?  Can someone show me a code sample to achieve it? Thanks.  The goal is to make my intent work like ""what's my current account balance.""

A:"
816,what are the ways for others to transfer me money?,"['transfer money', 'transfer money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","to

send money using paypal
 send money to your bank account using direct bank transfer
 pay someone money in your account
give your money for someone else
withdraw funds
Withdraw money from your own bank using a bank cheque
use money order
paypal money transfer"
817,what different ways are there for someone to send me money?,"['send money', 'different ways', 'send money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","send money for
 pay

What's the answer? If it's ""send"", then I need to return ""for you, or pay"" in my answer for the question ""How to pay for _______?"", otherwise I should return null (I don't know).
The best solution I've found so far is to check the word ""money"". If the input word begins with ""Money"", and ends with ""-ment"", I return the string ""payment"". Otherwise, I get the user's input again with prompt ""What is the money's type?"".
I have tested this on my phone (and I have an app for Android and web).  My code runs perfectly except for one problem.  If I don’t type anything at all after typing the name of the payment I want to make, my app prompts with a message that says ""Please enter your recipient‘s details"" with three options that are listed on a web page. After the three steps of this process, the app crashes when trying to save the details for future transactions. I assume this is because this line of code gets executed when the web address is loaded:
String url = ""<?php echo base_url().""/transactions/add_payment.php"";?>"";
WebView mWebview = (WebVIew) view.findViewById(R.id.webview);
mWebkit.loadURL(url); 
This error can be resolved by simply adding the following code:   webview.setWebChromeClient(new WebChromClient());
However, this would mean that the prompt will never pop up and I cannot continue until I press one of three buttons. The reason I'm writing this question is that I do need the error message in case the person has not yet supplied their details. So that they can continue and not have to re-enter it. Also, if they want me to change the wording in the code, they'll want this change made at the beginning of their program. My web-programming knowledge is limited to this so I‚m asking people who are smarter than me for a better way to approach this problem!
Here is an example of a prompt that appears if no payment amount, recipient, and/or other details are provided: https://drive.google"
818,what do i need to do to transfer my paycheck to my account?,"['transfer paycheck', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Transfer Money
 Transfer Money from bank
  
```java

package com.harry.chatbot.dialog_intent_handling.examples;


import com.happypeter.express.bot.*;
 import com .reactivestudy.express.core.domain.* ;
//import static com.*.reactive.util.*

 public class Example1  {
public static void main(String[] args) {

  String input = ""transfer money"";

 // create a chat bot
 ExpressBot bot = new ExpressBots(""http://127.0.1.10:8891/""); // specify chatbot host,port and appName
 ListeningService service = bot.listen(); // start the listening on your bot instance

 ConversationService conversation = service.conversation(
 String intentName,
 Intent[] intents, // an array of intenstes which are resolved
 ServiceCallback serviceCallback) ;

 service
.handle ( ""Transfer money"",
 intent -> { //handle the intent in an onmessage handler
 Message message = intent.getMessage() ;// get the message from a message event
 System.out.println(""message: "" + message.text()) ; // print message
 if (message.isMessageFromUser())
 {  conversation.sendMessage(""Hello! What is your name?"");
 return Conversation.RESPONSE_HANDLED ;  }
 else
return Conversation.RESULT_OTHER;}  )
.handle( ""Send money from account"",
intent ->
{  Message outMessage = conversation.getOutputMessage();
System. out. println(""outputMessage : ""
+ outmessage.text);  return conversation
}).handleInput(""What do I need?"", ""i need money "",  null)
;  // handle input in a oninput handler, so that the user can give more input 

 }  };
 }"
819,how can my friend send me money?,"['send money', 'send money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","transfer money between two bank accounts
deposit a money order
pay a bill with debit card
ask a friend to send money to my account

The following example utterances demonstrate how the application works:
""Can I have the cash?"": the intent ""receive money"" is selected. The ""money"" field is now updated with the number of dollars requested by the bot. 
In response to a request for a specific amount of money, the response ""I can't do that."" will result in ""invalid intent for request_money (type: money)"" to be displayed in the chat window. This will allow the user to change the amount requested. Once the change is submitted, ""request_amount(amount: $200)"" will be updated on screen. If instead, an invalid intent is displayed, then ""ask_intent(type_hint: request)"": this will cause the dialog to close."
820,can i directly transfer my salary onto here?,"['transfer salary', 'transfer salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfersalary
821,can this be used to receive my salary?,"['receive salary', 'receive salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get salary
822,is it possible to deposit money in gbp?,"['deposit money', 'deposit money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
If this is a simple request for an action such as deposit
then you should have something with that action like
""I want to send a deposit"".
In this case there would not normally be any other
words. 
The other words in the utterances would be the ones
that are important to this uttering."
823,i received my salary in gbp how do i change this to my currency?,"['change salary', 'change currency']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","update salary

   @Override
  public int getIntentAttribute(Uri uri, Intent intent, int matchMaxWidth) {
Log.i(""intent1"", ""uri: ""+uri);
if (uri!= null){
String[] values = { ""salary"", 
""currency"",
};

 String selection = ""INTENT_ACTION==\""""+values[0]+""\"" AND (SUBSTR(TEXT,1,20)==""

+ ""\""salaries\"", \""salarie""//""salari""  + ""\"", SUBSTR(""
 + values[1]
, 1, 20)+ "")"";

 Log.e(TAG, selection);}
// return super.getIntentionAttribute (Ui.Intents.Action.Currency.toString(), uria) -1;
return Intent.NO_MATCH;// super
 }
}"
824,how can my friend transfer money to me?,"['transfer money', 'transfer money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","transfer my money - You need to have your own money. You are not using any money from a friend that you do not own. So, you need a wallet that can save your money (e.g. Blockchain Wallet)
 send my wallet address - you must have an account on an e-wallet (i.e., MyEthereumWallet, MyCryptoWallet) and you will need the keystore (private) to transfer to your account

A:
""How can I deposit $3,000 to my account?"" ""How I send it to you?""
These are simple questions. If you can't explain to a stranger how this transaction happens through a public computer, then it might be better to leave the question as the stranger cannot transfer the $3000 for you."
825,can my friends send me money?,"['send money', 'send money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive money
826,how do i deposit my paycheck to this account?,"['deposit paycheck', 'deposit account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get a checking account with

What is the difference between deposit and withdraw for a bank? How can deposit be used for cash while withdrawal is used to transfer money between bank accounts? Also, is deposit the same as transfer in accounting? Thanks."
827,can i use this account to receive my salary?,"['receive salary', 'receive salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose intent

I tried with this :
import org.springframework.context.ApplicationContext;
public class HelloWordUtil {
   public static void main(String[] args) throws Exception {

  ApplicationContext ctx = new ClassPathXmlApplicationConfiguration(""spring_test.xml"");
String message = ""Please select one of the options from list above or enter your request"";
ctx.registerShutdownHook(); 
HelloWordService hello = (HelloWorldService)ctx;

 HelloWorldIntf.messageRequest();
 System.out.println(""Hello World!  "");
 hello.printResponse(message); 

 }
}
but it's always getting null in System out.  How can i solve  this?  I'm a beginner. Please help me. Thanks.!!
My service:
package hello;  // hello service package.

 @Service(""helloWorld"")  @Transactional  class WorldService implements
 HelloIntef {  String messageToServer; // message to be sent to server. }

 public String printResponse (String  reqString) { // print the received string to user. return response; }  } // end of  HelloService
i have tried the following :  please help
@Autowired
World Service service;// hello world service. i have declared this in my spring xml as well
class HelloUtils {public static String chooseOne(List<String> ls)  {// choose the desired intent

 String s = ls[ 0 ];
 if ( s.equals(""receieve salary"")) { }// if the string is equal to receieve  salary  intenet
 inti =  serviceIntent(ls[ 1 ], ls); //intenant based is selected  to get the next string
 else if(s.contains( ""intein"")){
 String[] str = s.split(""\\s+"");  str[i] = str [i+1];}}  else {s = String.valueOf(str[ i ]);}// else get a string from the array. s=salary
 return service.printresponse( s); i.e s should be equal with salary. but its  always null here please someone please"
828,can i deposit my salary to this account?,"['deposit salary', 'deposit account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","withdrawal salary for account 
The above is a sample question. But i have no idea how to do it.   My input is ""I want to deposit Rs 1000"". How can i tell which intent should be used? How do i do this? Please help me...

A:
I solved it! I have written down the answer for people like me, who have similar query to mine and don't get any clue on how it's supposed to be done. I am posting the solution here so that i can help some other people as well. It will save some time for anyone who might have same question as mine. This tutorial can be very helpful for newbies like us. So, here's the tutorial:  How to get intent for an intent
First thing which you need to write is to use intentservice. To start that, create this: ""com.bignote.IntentsTest"" as ""Android Application"".
Then, in the intenteditor.jsp we need the following code:

  <html>
  <!--
<form method=""post"">
Intent intent = new Intent(Intendservices.ACTION_VIEW);
intent.setClassName(""com"", ""bigo"", Intents.class); // change the package name to yours
 intent.putExtra(""inputString"", inputString);  // put your input here. it needs to have a string value.

 intentintent = Intent.createChooser(intent, ""Select Your choice""); 

 try{
 startActivity(intentintent);

 }catch(ActivityNotFoundException e){

 Toast.makeText(getBaseContext(), ""You've not yet installed an app to play with it."", Toast .LENGTH_LONG).show();
 }
 </form>

 </html -->  Now you're on ""Intendeditor"". Write the text which i mentioned above there. After writing it, click the blue pencil button. Then, it will pop up a list of intent to choose from. Here are few options for you: Deposit - Withdraw - Make Payment - Cancel Payment. Check ""deposite"". Click the check button and it'll be saved. The same thing applies to ""withdrawal"" and ""make payment"" etc. In the end, check"
829,how do i get my salary through this account?,"['get salary', 'get account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","show account info

A:
a) The best choice is ""get salary"", because you want to tell what you are going to get, that's it. It's simple, and you don't need to care about whether it's your account or someone else. So, your bot should know this intent and choose it at the point where you get asked about getting a salary. If you were not at this point, then you could either choose your own account (that's a good idea for a bot, but not here) or get a new one with a fresh balance. (But this requires a user to provide a phone number.)
If you choose ""show acount info"", then the user will be able to see your balance in the bot. This is the same as you having a web account, except that you can tell it to show that info in a chat session using an API."
830,what if i need my salary in a different currency?,"['need salary', 'different currency', 'need currency']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","salary needs currency different intent 

I have no idea on how to do this? Can somebody help me? I'm currently using google-cloud-translate-v1-alpha-java and java.   Thank you. I've tried doing this by myself, but got stuck in the part when i want to choose the right intent and so on. So this would be a help a lot. Thank You. Any Help would greatly be Appreciated. :)
EDIT: My code now looks like this. It is still not working properly :'(
import org.apache.kafka.common.serialization.StringDeserializer;
  import org  org.apache.k  afe .common.serializ
 import com.google.api.client.http.HttpRequest; 

 public class Translate {

  private static TranslatorTranslateTranslator client;

 private TranslatedText request; //to hold a single Translat  ed text
 private String lang;//The language to be translated
 @SuppressW  ardism //this is a required param  for kaf  ka  Trans
 public void init(String lang) {
 this.lang =  lang.;
 try { client = new  Transport  Translation  (  ""https://translation.cloud.ca "" +this. lang + ""/"");  client.setRequestInterceptors
 (new RequestInterceptor() {  public boolean shouldInterposeRequest(Http  Request req)  { return true;} });
 client.setDeser  iler ( new StringDe  ser( new Type  <String>()  h  us ,  String.class, new com  g  l  o( ""String""),  new M  ontainsString());
 } catch (Exception e) {}
}
public Transl  atedText getRequest()
 {}//Get the Trans  lated Request
private void  getTranslated(  Http  request, H  altoResponse  response ) { Request  r  = request as  R  et  es  T  exter  c  om.R  e  s  t  er  ;
Transl ate  tr  an  sl  ugh"
831,i receive my salary in gbp do i need to configure this somehwere?,"['configure salary', 'configure salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","confim salary  
end

Thanks
Prasanth
PS:  I am using the default intent of spa/intent-classifier
EDIT: When i try to build the project and use following code:
  Intent intent = new Intent();

  String input = ""confirm salary"";

 intent.setType(TEXT_TYPE);
 intent.[setAction(ACTION_NAME);  //set the action name

 ArrayList <String> strings = Arrays.asList(
 input);

 List <AnnotatedString >annotatedWords = SpeechUtteranceExtractor.extract(strings, true); //passing the string in the array 

 for (String word : annotatedText.keySet()) {
String [] words = annotateString(annotator, annotator.getBest(word), annotators); }

 if(Arrays.<String[]>asSortedList((List<String>)annotators.keyset()).isEmpty()) return;

 Intent resultIntent = Intent.createChooser(intent, ""Select Action""); //create the chooser
for(int i=0;i<words.length;++i)
resultIntents.append(result.newInt(words[i])); return
}
catch(Exception ex) { ex.printStackTrace(); return null;
 }
return result; }  it gives me the following error: The constructor Intent(String, String, boolean, ArrayMap<ArrayList, Boolean>, ArraySet) is undefined  Please help!!! I have seen many videos on youtube on how to use intent and action. But i was unsuccessful till now.  Can any one please help me out? I would really appreciate it. Thanks in advance. This question is more of an help for myself rather then other. Please understand
Please do post your replies. I need the code in details! Thank you in adavnce
UPDATE: I just tried to create the speech to text intent as per the answer i got. The intent creation was successful. However while running it it did not do anything. No error was thrown and nothing happened. Its very simple code, but i would appreciate your help. Thank You. Here is my code
package com.example."
832,do you know if i can use this for my salary?,"['use ', 'use salary']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
""Use"" is an option for all the utterances. I'll give you an example
I want to use x for an hour. (I'm asking about my current activity
Use   intent1(action1)  -- this is for you
  use  (your activity) (action2) -- for your activity (e.g. use ""work"")
This can be useful if you want the same action in multiple contexts. You can make the action context-aware."
833,how do i get my paycheck through this?,"['get paycheck', 'get paycheck']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","ask me about my salary
give you my weekly salary report

If you're going to use LUIS for multiple use cases you may need to build multiple intents and pick based of input."
834,can i transfer my salary if it's in a different currency?,"['transfer salary', 'different currency', 'transfer currency']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","none of the options are right

i'm having 2 classes for the two options of Intent
TransferMoneyIntent.class
IntentsTest.activity
for the first part (intent) i've got a simple activity with 3 options (1/none, 2/transfer). 
I'm using a onClickListener and a button, which is set as the button with the intent.   I have the correct options and the ""none of them are"" response, but my question is, can the response ""None of these are correct"" be an option of a response for an Intent?  Is there a reason why i can't select ""the option is none? (i.e - i'm trying to avoid having to change the question in the test activity to ""what is the option?"") I feel that this is an obvious answer, so please don't be too harsh, its just for me!
The second part of i have to use the same onTouchListener on a edittext, if i select one of two buttons (from the activity) the onEditText changes. My problem is that the editext can contain anything from nothing to a currency string. In the second activity im using this to check whether the answer is ""transfer"" ""currency transfer"" or ""nothing"" as an int. but i think there is a problem here too, I think it would be best if the string in editText had only ""£"" (or whatever the currency is on my device).
This is my code in each class
public class IntentTestActivity extends Activity {
  Intent i;
 Button mButton;

  @Override
 protected void onCreate(Bundle savedInstanceState) {

 super.onCreate();
 setContentView(R.layout.main);
 mBudButton=(Button)findViewById(Button.R_BUD);

 mTranerButton = (Button ) findViewByid(mBuddButton);  // get first button from layout
 Toast.makeText(this, ""Button 1 Clicked"", Toast.LENGTH_SHORT).show();

 }

 public void setIntento(View v)
 { 

 i = new Intent(""com.example.intentTest"");
 i.putExtra("""
835,can i get paid in a different currency?,"['different currency', 'paid currency']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get the value of an amount in other currency. [utterances, options]
I hope this works

A:
   def _value(self):
print('Hi! This is the function to get value from the dialog.')
if self.text == 'Hi' :
intent_value = ""I would like to buy a $currency with $amount of $othercurrency.""
else: intent_values = []
response = self._build_response(GreetingIntent(type_id=GreetingsIntents.VALUE,
text=self.utterance, entity_types=None), request_input={'values': intent, 'options':intent, 
'dialog_states': dialog_state})
values_output, values_error = response.values.output_results()
for value in values: self.utter_utterantion(value)  ##This will get your value"
836,why didn't my transfer go through?,['go transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","The first option will ask you to either transfer some gold or a potion of cure light wounds. The second option is used if the first was not available. 
I've tested it, and it works."
837,i've attempted to do a very standard transfer and have tried 5 times at this point can you tell me what the issue is? is the system down?,"['tell transfer', 'standard transfer', 'tell system']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","here is my grammar and the intent:
intentTransfer
<intents:-
   <intent name=""tell"" structure=""**[TO,FROM]**,SOME_TEXT"" />
</intants>
""**Tell [<entity_fname>,<phone>], please.**""
.input newline (Optional) [from phone: **<text>**]:
.output newLine (optional):
$
```
and here is how i have attempted the standard intent transfer: (i believe its wrong): 
import java.util.ArrayList;
public class Main {

  /**
 * @param args the command line arguments
 */
static void main(String[] args) {
String input = ""Tell **[name.phone] <text,phone.phonenum> **, please."";

 ArrayList<String> utterances = new Array();
 utterages.add(input);
 UtteranceUtils.process(utterances, new TransferUtterances(), ""en-US"", System.getProperty(""user.home"") + ""/speechT-test"");
}
 }
 ```

 and here are the Util classes:

 public class Utilerrors{

 /** @return null */

 void error(Exception e){
 e.printStackTrace();}

 }

 import org.apache.uima.cas.text.Annotation; import java
 org..uispec.SpeechEvent; public  class Transfer { 

 private SpeechEvent event, resultEvent, finalArrayUtters =
new Arraylist<SpeachEvent>(); public Transfer(SpechEvent ev)
{event = ev; result=Speeches.toArray(event); finalResultArray= result; }  public String toString() { return finalresult+ ""\n"";
}}
 public static class SpeechEvents{
 private static SpeechUtilities ut = null; private String output =  null;; String input1 =null; String
 input2;  boolean found = false; boolean start =false;boolean finish = true; /**@return boolean */booleanknown ="
838,can you provide a reason as to why my transfer did not work?,"['provide reason', 'work transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Option
   provide reason 
Explanation
The utterances can not be processed as it doesn’t match any intent. To resolve this issue, the dialog has to be reframed to have a higher level dialog. As the utterments in your question are not sufficient to perform the desired task, they will be redirected to the Intent “Option”."
839,i tried to transfer money and it did not work,"['transfer money', 'work money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get money 

A:
> How do I transfer my money from bank A to bank B?
You need to know the bank's ABA routing number. From there on, there are many banks that can do this for you, but you need their ABL. If they don't know your AAB, you can still ask them to give you a reference. This is called SWIFT."
840,can i do a bank transfer to put additional money in my account because i am out of money?,"['put money', 'bank transfer', 'additional money', 'put money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I would like to know if I can do that. I would appreciate it if you could help a newbie to code. Thanks for reading

A:
>  
  class Main {
public:

  int main(int, char**)
{ 

 std::string utt;
 std:string::iterator begin_utt;

 begin(utt);
 getLine(begin_ut, begin);

 //  std_tok(ttokens, ut,begin);  // This is to extract tokens, not needed anymore  in this version of the code
// int numtoken = tttoken.find("" ""); // Find the token and extract the number part
 int token;  while (tttoken.substr(0,1).compare(""$"")==0); { if(!ttt.isEmpty()){ tt=tt.pop_back(); } tto=0; }
 ttoken=std_get_token(utm,ttt, ttoo); int amount; token=tokenizer(token); getDecimal(amount,token,tt); add(utmt,ut); }

 int get(std::istream& in) {  return stdin(in);}
 string get() {return utm;}

 bool is(const std& s) const{ return s==utm;};

 void getTokenizer()
 { std<char>* ptr; int s; ptr=&s; for(ptr=utt.begin(); ptr!=utm.end();ptr ++)  if(*ptr == '$') ptr++; }  }`
 >  `  struct utmtest{std:istrstream  ut;std,istrm::iteratortok  ttom;int  to;bool  isum};`"
841,i'm out of money can i add money with my bank?,"['add money', 'add bank']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose the intent

A:
What you are trying to say is ""add some more money to your account"" (with the 'with your bank' part you're trying not to actually transfer)
If your utterances are correct you should get a message saying ""Your balance has changed successfully""
There is another way to get the same result. You should be able to type: ""I need to add 2 more £1 to my balance"" and it will return 2 options ""Bank add £2"" or ""Add money"". If it gives you the ""choosing"" option then you can say ""bank"" to choose the bank, ""money"" for add the money and so on."
842,how do i go forth on transferring money into my account?,"['transferring money', 'transferring account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Transfer $5 to your account.  Your request has been accepted.
843,i don't understand how to top up my account can you please explain the process?,"['explain process', 'explain process']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","{
""process"": {

  ""process_id"": ""3"",

A:
 ""context_features"": null,
 ""@context"": [
 [ ""https://api.twitter.com/1/accounts/show.json"", { ""@type"": ""@id"", ""account_display_name_list"": [""@abc-acct""] } ]
 ]"
844,i don't understand the money transfer process,"['understand process', 'transfer process', 'understand process']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get process  

I would like understand this process. And I am not talking about the transfer from the source to the recipient. If I want to talk about that I should ask another question
What is the process to transfer money from A to B?
Which one is better, understand or get? Are both correct?  What is their difference? Thanks for your help.  I really appreciate it. It is very important to me. Thank you so much. Your effort is much appreciated. I hope I will get better understanding from you. Have a nice day. Bye. Thanks."
845,i need to transfer money into my account how do i go about doing this?,"['doing money', 'doing account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Transfer amount
transfer money 
I need some of the money in my
account how is this possible

A:
The transfer amount can be the number, ""some money"" or a range like: ""3-5"".
You will have to check for those options. For money, you can use the ""do.money"" action. If you want some money then try the action ""doing.account"" and check if it returns a number."
846,what do i need to do to transfer money into my account?,"['transfer money', 'transfer account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",send money to account
