,utterance,classes,prompt,bigscience/T0pp
545,is it possible to use my credit card to transfer money?,"['transfer money', 'credit card', 'transfer money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money via credit card.. oh no!
546,how can someone add money to my account?,"['add money', 'add account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",add money add account.? <unk> : yes
547,cannot access my top up,"['access top', 'access top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",access top... up. yahoo
548,are my friends able to add funds to my account?,"['add funds', 'add account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",add funds add account? <unk>.
549,can i transfer money to my credit card?,"['transfer money', 'credit card', 'transfer card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer money transfer card credit card..
550,who else can top up my account,"['top account', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up account. who else can top my account up?
551,why is my money gone right when i attempted to top up,['top money'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",why is my money gone right when i attempted to top up?
552,how do i transfer money using my credit card?,"['using card', 'credit card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Using my credit card to transfer money.
553,my friends want to top up my account,"['top account', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top account. my friends want to top up my account
554,who can top up my accounts?,"['top accounts', 'top accounts']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","top accounts. (translation) a person can use cash to top up another person's account, if the other person is unable to."
555,show me how to top up with my card,"['show ', 'top card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",show me how to top up with my card
556,i topped up my card but the money disappeared,"['topped card', 'disappeared money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",disappeared money topped card. (noun)
557,what are the limits to using disposable virtual cards?,"['using cards', 'virtual cards', 'using cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",disposable virtual cards are not accepted everywhere.
558,how many transactions can i do with one disposable card?,"['disposable card', 'do card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do card. disposable card. make a transaction.
559,how many times can i use the disposable virtual card i have?,"['use card', 'virtual card', 'have card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card virtual card have card?.
560,i think someone is using my card to make transactions i don't remember,"['make transactions', 'remember transactions']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",remember transactions make transactions??????????
561,someone is using my account,"['using account', 'using account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use my account with my credentials. or ask about your account
562,someone i don't know has used my card without permission,"['used card', 'used permission']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",used card. without permission. someone i don't know has
563,my card was used without my permission,['used permission'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i was used to give someone permission to use my card
564,can i freeze my card right now?,"['freeze card', 'freeze card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze card.. i want it frozen now!
565,freeze my account it's been hacked,"['freeze account', 'hacked account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze account. hacked account freeze
566,there are transactions i didn't make someone else must have used my card,"['used card', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",someone must have stolen my card because there are transactions i didn't make
567,can you freeze my card because someone used it while i was out of town i did not make these purchases,"['make purchases', 'make purchases']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",make purchases. i did not make these purchases
568,someone is using my account to do online shopping! please freeze it asap,"['freeze shopping', 'online shopping', 'freeze shopping']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze shopping online shopping. thanks! :-) x
569,someone else may be using my card  there are transactions i don't recognize,"['using card', 'recognize transactions']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",recognize transactions using card. yahoo!
570,what do i do to stop unauthorized transactions on my card? i was never in the place from which the transactions on my bill were made and i never made them please help!,"['made transactions', 'unauthorized transactions', 'help bill']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help bill made transactions. permalink.
571,what do i do if i think my card was improperly used?,['used card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",used card. permalink. I want my card back
572,how can i stop fraud on my account right now?,"['stop fraud', 'stop account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stop fraud. UNC website stop spam
573,i think my identity has been stolen can you check on unauthorized charges?,"['unauthorized charges', 'check charges']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",check charges. i think my identity has been stolen can you check on unauthorized charges
574,i think someone else is using my card  there are transactions i didn't make,"['using card', 'make transactions']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i think someone else is using my card make transactions
575,i don't recognize some of the transactions on my card i think someone must have gotten my card info and used it,"['used info', 'card info', 'used info']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","used card info. i don't recognize some of the transactions on my card, '' used the most suitable intent based on the above utterance."
576,can i use app to freeze account and dispute fraud?,"['dispute fraud', 'dispute fraud']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",dispute fraud. com. usa. facebook
577,my card is being used online to make a bunch of purchases! someone else is using it fraudulently can you help me freeze it?,"['freeze bunch', 'freeze purchases']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze purchases freeze bunch. pc
578,someone has my card number freeze my account,"['freeze account', 'card number', 'freeze account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze bank account someone has my card number.
579,i see random purchases to my account was it hacked?,"['see purchases', 'random purchases', 'hacked account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",hacked account random purchases?.
580,it seems someone used my card! there are a few transactions from a small town in the middle of nowhere that i definitely have not made! please prevent them from using it immediately!,"['using card', 'small town', 'using middle']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",using card using middle small town. yes
581,how do i freeze my card using the app?,"['using app', 'using app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",to freeze your card you download the app from google play and then click on your name in the upper right and scroll down till the freeze option.
582,my card has been compromised,['compromised card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",compromised card. yahoo! mail.
583,what should i do if i think that someone else may be using my card,"['using card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use another credit card in its place..
584,the transactions showing up are strange i think my card was used without me knowing,['knowing card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","transaction is strange to me, i think my card was used without me knowing"
585,how do i freeze my account?,"['freeze account', 'freeze account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze account. buy cheap drugs online - advair dhcp spironolactone and more
586,i'm not certain but someone may be using my card,"['using card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Someone might be using my card. Options using credit card
587,how do i freeze my card? i think someone is using it to make a bunch of online transactions,"['make bunch', 'online transactions', 'make transactions']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",make transactions. i think someone is using it to make a bunch of online transactions
588,i think someone got my card details and used it because there are transactions i don't recognize what do i do now?,"['used details', 'card details', 'do transactions']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",used card details do transactions. i think someone got my credit card
589,someone else used my card!,"['used card', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",someone else used my card!... a card reader
590,i believe someone is using my card without my agreement!,"['using card', 'using agreement']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i believe someone is using my card without my agreement
591,if i feel someone has my card information can i get a new card?,"['get card', 'card information', 'new card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",the card is lost or stolen. get a new card
592,there are a few transaction that i don't recognize i think someone managed to get my card details and use it,"['use details', 'card details', 'use details']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use details. i think someone managed to get my card details and use it
593,i think someone has access to my card numbers that shouldn't,"['has access', 'card numbers', 'has numbers']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",has access card numbers.. i think someone has my numbers
594,i think my child used my card while i wasn't home,"['used card', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",used card. child stealing a credit card
595,what do i do if i think someone managed to get my card information?,"['get information', 'card information', 'get information']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","get information card information. <unk>ерите у<unk>нат<unk>, но на<unk>инаетс<unk> не о<unk>редел<unk>т вам дене<unk>."
596,i think someone copied the numbers on my card and is using them,"['using numbers', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",using card using numbers. idiom
597,what should i do if i think someone is using my card,"['using card', 'using card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",think someone is using my card..
598,can i use app to freeze my card and dispute fraud?,"['dispute fraud', 'dispute fraud']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",dispute fraud. can i use app to freeze my card and dispute
599,someone else is using my card freeze it,"['freeze card', 'freeze card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",freeze card. someone else is using my card
600,do all atms take this card?,"['take card', 'take card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do all atms take this card.
601,which atms accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card accepted at cash machines around town.
602,where is the closest mastercard atm?,"['closest mastercard', ' mastercard']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",closest mastercard master card. nearby locations
603,is there a list of atm machines?,"['atm machines', ' machines']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",list of atm machines. wikipedia
604,are there any specific atms that this card can be used at?,"['specific atms', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",specific atms used card?.
605,how do i know which atms will accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",atms that accept card by xetra
606,which atm's accept my card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept card.. o nly accept cash
607,is there any nearby atm's?,['nearby atm'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",nearby atm? i am in a hurry.
608,where are the locations of atms that accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept card. where are the locations of atms that accept this card?
609,which atms accept this placard ?,"['accept placard', 'accept placard']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept placard?. atms
610,help me locate the nearest atm,"['locate atm', 'nearest atm', 'locate atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","locate atm. [substeps] If the nearest atman has not yet been located using the above-mentioned system, the system may ask for help locating the next available attm."
611,what atms is the card okay to use at?,['use card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card at ptsc banks
612,how can i find the nearest atm?,"['find atm', 'nearest atm', 'find atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find atm nearest attm.
613,what kind of atm's can i use?,['use atm'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use atm. <unk> : use of ATM.
614,how can i withdraw money?,"['withdraw money', 'withdraw money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",withdraw money.. from an ATM machine
615,how many miles away is the atm?,"['many miles', ' miles']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",many miles miles? :(.
616,from where can i withdraw?,['withdraw '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",withdraw bnr from bank of rhodesia
617,which atm's will accept my card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept card. python
618,at what atms am i able to use the card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card.. tcs
619,can i use my card at any atms?,"['use card', 'use atms']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card use atms? *
620,can i get cash with this card anywhere?,"['get cash', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can i get cash with this card anywhere?
621,which atms accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","atm accepted card. cvs, ace bk."
622,can someone please assist me with finding my nearest atm?,"['finding ', 'nearest atm', 'finding ']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",nearest atm finding a bank near me
623,are there any atm machines near me?,"['atm machines', ' machines']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",atm machines. wikipedia <unk>
624,where is the nearest bank machine?,"['bank machine', 'nearest machine', ' machine']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",nearest machine bank machine..??
625,what type of atms accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept card? based on the above utterance.
626,where can i use this card at an atm?,"['use card', 'use atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card atm.. tpa
627,if i have this card which atms can i go to?,"['have card', 'go atms']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i have this card which atms can l go to.
628,what atms can i withdraw money from?,"['withdraw money', 'withdraw money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",withdraw money otasi atm
629,i want to withdraw money where can i go?,"['withdraw money', 'go money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","withdraw money. [phrase] i want to withdraw some money from the bank, [place]"
630,where can i withdrawal my money?,"['withdrawal money', 'withdrawal money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","withdrawal money. in order to make withdrawals, customers must enter their Pin code -"
631,what are the atms that will accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept card is the most likely. phrasing in this context
632,what atms will accept this type of card?,"['accept type', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept card accept type : credit card.
633,where can i find an atm to use this card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card? - youtube <unk>
634,at which atms can i use this card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",atm in mexico can i use this card
635,are there certain atms that i can use this card at?,"['use card', 'certain atms', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card certain atms? i can't use my card in all.
636,someone has taken my money and i don't know who,"['taken money', 'know money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",taken money know money????????????
637,i was charged on my account that shouldn't be there,['charged account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charged account. i was charged on my account that shouldn't be there.
638,there's a direct debit i wish to dispute,"['direct debit', 'dispute debit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",dispute debit direct debit.. i want to dispute it
639,why was my account deducted from a seller when i didn't approve of it?,['approve seller'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",approve seller. I think a seller should be allowed to ask for another payment method if they haven't already.
640,what do i do if i forget my passcode?  because i did,"['forget passcode', 'did passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",forgot passcode.. thanks <unk>
641,i can't find my password,"['find password', 'find password']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find password. i can't find my password
642,how do i retrieve my passcode?,"['retrieve passcode', 'retrieve passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",retrieve passcode..<unk>3<unk>4<unk>
643,my passcode doesn't seem to be working,['working passcode'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",working passcode???? <unk>??????
644,i lost my password,"['lost password', 'lost password']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lost password. i lost my password
645,my password isn't being accepted and i need to reset it,"['reset ', 'reset password']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset reset password..????
646,something is wrong with my password,[' password'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",something is wrong with my password. (input-echo)
647,something is wrong with my passcode,[' passcode'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",something is wrong with my passcode..
648,how do i reset a forgotten passcode please?,"['reset passcode', 'forgotten passcode', 'forgotten passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset passcode. thank you. :-)
649,i can't recall my passcode and need to reset it,"['reset passcode', 'reset passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset passcode. swipe left to delete
650,can i be given a new passcode?,"['given passcode', 'new passcode', 'given passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",given passcode new passphrase. given password?
651,i do not know my passcode,"['know passcode', 'know passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do not know passcode. and i don't know why
652,i don't remember my code to get into the app,"['remember code', 'get app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",remember code get app? i don't remember my code to get into the app
653,i no longer have my passcode,"['have passcode', 'have passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",no passcode have passphrase. i no longer have my passpcode
654,why won't my passcode work?,['work passcode'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",it worked passcode. i have a new phone and it won't let me work
655,can i resent my passcode?,"['resent passcode', 'resent passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",resent passcode. id
656,i need to reset my passcode how do i do it?,"['do passcode', 'do passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",change passcode how do i do it.
657,show me please how to reset my passcode,"['reset passcode', 'reset passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell me password i need help please.
658,help me reset the passcode,"['reset passcode', 'reset passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help me reset the passcode..
659,i have forgotten my passcode to access my app,"['access app', 'access app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","use app, access app, forgotten passcode"
660,what should i do if the passcode doesn't work for me?,['work passcode'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work passcode.. :-D
661,i do not remember the code what should i do?,"['remember code', 'do code']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",remember code do code..................................
662,where can i reset the passcode?,"['reset passcode', 'reset passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset passcode. iptables -t
663,i need help resetting my passcode to access my app,"['access app', 'access app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",access app <unk>reset password<unk> access password :: 0
664,what steps do i take to receive another passcode?,"['receive passcode', 'receive passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive passcode. xml
665,i forgot my password,"['forgot password', 'forgot password']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",forgot password. i forgot my password
666,i forgot my code to get into the app,"['forgot code', 'get app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",yes i forgot my code to get into the app
667,i have forgotten my password,"['forgotten password', 'forgotten password']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",forgotten password.. i have forgotten my password.
668,i forgot the code to access the app,"['access app', 'access app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",unlock app.. i forgot the code to access the app.
669,is there a way to reset my passcode?,"['reset passcode', 'reset passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset passcode.. select all.
670,can you help me reset my password?,"['reset password', 'reset password']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset password. can you help me reset my password.
671,can i reset my password?  i don't know what it is,"['reset password', 'know password']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset password. i don't know what it is
672,how do i reset the passcode?,"['reset passcode', 'reset passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",click here for ways to remove it..
673,what should i do if i forgot my passcode?,"['forgot passcode', 'forgot passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",forgot passcode.. hmm... yeah i did that and it hasn't worked :(
674,my passcode doesn't work,['work passcode'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",my passcode doesn't work.
675,tell me how to reset the passcode,"['reset passcode', 'reset passcode']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reset passcode? <unk>!<unk>
676,i am still waiting for a money transfer to show,"['money transfer', 'show transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",show transfer money transfer. apk
677,my transfer hasn't gone through yet,['gone transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer is not through yet. no payment yet
678,i am confused as to why my transfer could still be pending,['pending transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer pending status unknown. i am confused as to why my transfer could still be awaiting clearance
679,how long does it take for a money transfer to show?,"['money transfer', 'show transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",show transfer money transfer? irs tax payments - due date.
680,can you remove my account please?,"['remove account', 'remove account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can you remove my account please?.
681,i want to close an account but im not sure about setting up a new one in the future what do you recommend,"['setting one', 'new one', 'recommend future']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",recommend future. set one new one?
682,my account needs to be deleted,['deleted account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",deleted account? :-( <unk>
683,i would like to delete my account please,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account i would like to delete my account please
684,what steps do i need to take to close my account?,"['close account', 'close account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",close account. what steps do i need to take to close my account?
685,i'm tired of all the problems i've had i want to quit this account!,"['quit account', 'quit account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",quit account. msg.
686,please delete my account right now!,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account? right now! please!
687,i want to close my account,"['close account', 'close account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",close account. i want to close my account
688,unhappy with you how to delete account,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","delete account. Google Play Services. Click the Remove Account link next to the account you want to delete. The next screen will confirm that you would like to permanently delete your application. If this confirmation is ignored, your account will continue to function, but you will no longer be able to make payments using Google Checkout and you cannot access the applications that are connected to this account. When you are logged into Google, you can go to https: // settings > accounts > remove account to terminate your Google Account."
689,i would like to delete my account,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account. i would like to delete my account.
690,i am highly unsatisfied with this company and want to delete my account!,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account i am highly unsatisfied with this company and want to delete my account!
691,i don't like your company delete my account,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account delete my account :-(
692,i would like to close my account,"['close account', 'close account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",open account.. close account. delete account
693,this company is terrible! can you delete my account?,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account. delete user account from web
694,this company is bad please delete my account,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account? This company is bad please delete my account.
695,please delete my account your services are not up to par,"['delete account', 'delete par']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account? y % b r
696,i need your help in deleting my account,"['deleting account', 'deleting account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",deleting the account.. i need help from you
697,the service of this company sucks i need to terminate my account,"['terminate account', 'terminate account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",terminate account - idioms by thefreedictionary
698,delete this account!,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account? delete this account!.
699,how do i get rid of my account asap?,['rid account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get rid of account.. asap
700,this company isn't good i would like to delete my account,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account. <unk> if you delete the account the syncing won't work.
701,can you delete my account please?,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","delete account, leave review. [ edit ]"
702,i am not satisfied with your company and would like to delete my accounts!,"['delete accounts', 'delete accounts']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete accounts. yes i want that
703,please delete my account i am not happy with the service from your company,"['delete account', 'delete company']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account i am not happy with the service from your company.
704,please terminate my account,"['terminate account', 'terminate account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",terminate account. terminate my account. please
705,i am sick of this damn company and want to close out my account,"['close account', 'damn company', 'close account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",close account damn company. xml author
706,please close my account i am unsatisfied with your service,"['close account', 'close service']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",close account close service awff
707,please delete my account,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",cancel account. delete account from phone.
708,your service is terrible  delete my account,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account. delete my profile i hate the service here...
709,i want my account deleted!,['deleted account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",deleted account. Deleted account has been deleted.
710,i am extremely unhappy with this app and want to get rid of my account?,['rid account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",rid account... the app i hate.
711,how do i delete my account?,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account..<unk> bhp
712,this company sucks! can you delete my account?,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account. this company sucks! can you delete my account.
713,i wish to close my account i do not like the service you provide,"['like service', 'provide service']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",wish to close my account i do not like the service you provide
714,can you help me get rid of my account?,"['help ', 'rid account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help. rid account?... thanks
715,i don't find your services useful anymore how do i delete my account?,"['delete account', 'delete account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account <unk> y<unk>utu.com '' -lrb- delete your account on twitter. com
716,please delete my account this company is not working for me!,"['delete account', 'working company']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",delete account working company..thanks
717,i want to delete my account i'm unhappy with the service you're providing,"['delete account', 'providing service']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",I want to delete my account i'm unhappy with the service you're providing.
