,utterance,classes,prompt,EleutherAI/gpt-j-6B
501,where can i find the card pin?,"['find pin', 'card pin', 'find pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","; find card pins; get the pin for the wallet; card or pin; the one that i have lost in the house; what is card PIN? What are the possible intents of the above utterances? The following example utterations are examples of each of these:

What is your PIN
Where do you get your card’s PIN number
The one I‘m looking for is a white card with black letters on the back
Find the PIN you should know
Pin is located on back of card, please look under back cover of wallet.
Get the number for your ATM card and your checking card
Your card number is on your back. Here they are.”
I lost my PIN card when I forgot it when at a ATM
PIN is printed on my card. You can call customer service at the bank for help. The phone number can be found on a printed card in your wallet
This is my ATM PIN. It is not stored on-line or in our database. I can“not get ahold of it. No one knows where it is. We have not given it out. My card was stolen and I want to know the
my ATM pin number. “
It is an ATM and the customer will need the ATM number to do a transaction. PIN is also required for ATMs
We can look up your pin code for you if you know what it‟s called. To look it up, you will use the „What„s my pin‖‚ function. This service is provided by your bank. Please call ‚ 1-800-2›
How should I pay my bills online?
Can you help me, I lost PIN and ATM information for my Bank‬
When you call, we can tell you which ATM to use for a cash withdrawal. When calling, have the numbers for all of your credit cards, debit cards and gift cards handy. A list of ATM‰s can also be
printed from the Internet or from your mobile phone. All you need is Internet access and an Internet browser. Most smartphones already have such access. Check with your service provider‛s website for details. If your smartphone is not willing to‌download‥the‗�"
502,why isn't my pin available yet?,[' pin'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","[PERSONAL], [COMPANY], or [BUSINESS_OR_SME], with an expected value of the answer being [SOME].

A:
It’s not possible for an agent with any kind of authority to make sure that a particular pin will be available in the future. It — like any other product‹will be released after the company‟s official release date. The answer to this question is always [Some], and you won't find the right wording in natural language, but there‚Äîare some rules you can‘t break to achieve it.
The main rule you have to keep in mind is that there is no way an entity can make a certain state true. If this pin becomes available, it„Ås the only one who can. So the rule to write the intent [why isn‏Ët my {PIN: [Person|Company|Sme]} available? is „“it {is/aren”t|was not} made available‰Ì›Î‡ÒõÑ.‖} available?""
There are several ways to formulate this intent. I recommend you to read the Intent section of this article to help you."
503,is my pin located on my account somewhere?,['located account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","located in my accounts? 

A:"
504,please help in finding my card pin thank you!,"['thank pin', 'card pin', 'thank pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Or thank card? I've been struggling with this sentence for some time. Thanks for your help!

A:
“Thank pin” is a common construction where one says “thank’s so much ‖ for doing X, and X happens to be something that involves a key. The speaker is grateful to have received a pin, but not to actually need one.
To ‘thank the card‘ is to say „Thank you [for the help]‚, meaning that the speaker received some help, or is very grateful that he did get help.  
The construction ”thank [the pin]/[the card] pin for...„ is possible if one uses a definite article with a noun of which the pronoun has been omitted. In other words: ‚thank pin (for...)‛  is acceptable. However, ’thank card(pin)... ‛ is not acceptable in my opinion. (And it is probably not correct, either) The construction should not contain an omitted pronoun. But this may be the only one possible way of expressing what is meant."
505,where is my pin number located?,"['pin number', 'located number']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","I believe I have read several of the answers to this question, and I believe the intent of all of them has something to do with finding a specific pin or number, however, I am not exactly certain of what they mean by this. 
So, my questions are:
Can someone give a simple example of ""pin or numeber"" in an intent or slot?  I would like examples with examples.
Is the ""location"" and ""my number"" an idiom? Why or why not? I'm curious to try to understand this phrase without the context of location. I hope there's a clear distinction between a location and an utterances location as the former is often used to mean ""the place of"" while the latter is used with locations. Is there an equivalent of  ""where is your number?"" (to which the answer is always located at or in my phone).
Thanks
EDIT: Clarification on the question: The question is not to ask what the word means for the person asking, but to see if we can learn about the meaning of an expression through our analysis of its parts. For example, ""what word is located in this sentence?"" Is the obvious choice, in which case ""located"" is a function word and has a very specific definition. The correct question that needs to be answered is ""What is an example or definition of 'locate'?"" So the example given by @JohnCole is incorrect and can be disregarded. Also, it should be noted that my question isn't asking for a definition, just an illustration of how that phrase is formed. A good explanation of definitions and their usage may be able to help. Thanks!
Edit: To be specific, an answer to ""Pin number location"" that I was looking for was one that included location with a pin, a number or something else entirely. That's all I wanted from anyone's answer, as it is clear that the original intent is to find something specific. Sorry for asking something different than what I intended. Again, the definition is irrelevant in the sense that it was not asked for in any way. My original question was whether ""locating"" a word or idom is actually about a noun or verb. There are examples of both (for example: ""He could not located it,"" ""You can't locate this,"")"
506,i still don't have my pin,"['have pin', 'have pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Have you got your pin, or do you have yours? If you haven't got it, have you lost it?

Intent
I still want to have more information.
This is a confirmation to the agent, not the patient, that the person will not respond. 
The patient can confirm the information is correct as needed. For example,
Yes, I still have it. I haven’t misplaced it at school. Do you mean it‘s a different pin altogether?"
507,so what about the card pin?,"['card pin', ' pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","I have been using the intent ""so what"", and was wondering if there is a better alternative to it, which could fit these kinds of utterances.

A:
""I want to know the PIN of the bank's card"".
This means you are asking for the pin, or you need to authenticate the transaction with the user's PIN, as if it was a pin code."
508,i cannot locate the card pin,"['locate pin', 'card pin', 'locate pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","pin location?
Is there even a single best fit? I'm interested in whether an intent might be more general than it appears (such as card location), or in the case of card finding, whether the location may vary depending on the context (e.g., on card being on a table, on being under a couch, etc.). In other languages (French, in my case) the same word might have very different meanings depending upon the object it's associated with.

A:
Bryan points out in a comment that it is not unusual for a question to have multiple correct answers depending only on context. My comment was just a reminder that if that's the issue with your question then I was trying to explain why the question was not well-formed. 
The problem with ""I cannot find the PIN"" is that there is no PIN to find. The PIN may be located in one room on your desk while you are looking in another. In most cases there are a dozen or so people in your home but if someone is in need of access to the door or to a car it makes sense to locate ""the"" PIN. However, this particular PIN has an infinite number of locations. If I put your card on my desk and give you the number, I could also put it in three other places: under the pillow, between my teeth and in front of my pants, and you could say you cannot ""find the"" card. I might not even tell you ""where to look"". You would have no idea if my PIN was on that desk or under that pillow."
509,i need my pin,"['need pin', 'need pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Need-my-pin? I need-MY-PIN?!?!

In any case, I am writing some custom intent filters and want to know what the ""standard"" way of handling this is, whether its even possible, or at least recommended. This is an issue for my application where if the user types something like, in a normal conversation with a friend: ""Hey, i want my phone"", it's a little weird to me.
I'm using the new Google Play Services v9 and don't see any way to do this, but is it possible? Or is this just a no. I have tried googling and am drawing a blank, so I thought I'd ask here. 
Thanks
UPDATE
After researching, it seems as though this isn't something that can be easily handled (or not handled at all). There is no way in the AndroidManifest to say ""This is not a valid action for Google Services"" as you could with the normal Android ""app.action"".
So, as I suspected, what is being returned is probably the closest I can get, given Google's lack of clarity on the question. The closest they give is a response like:
{
   ""intent"": ""ACTION_PICK""
}
What are people's thoughts on this? How can I handle this in an easy, efficient manner?
As a side note, we have a web site for our customers that they have to login to and I'm trying to add this into my app so the website is handled separately. Is this the same situation? Can an intent be created in Android to get around this situation or do I still need to go through a server? Thanks
The issue here is that the android website needs to verify that users are logged in before allowing them to access anything sensitive. If we handle the authentication as part of my service, users would always be logged into the service. But, since the web page uses a different session, the response will always have the token in it as well, and users might be able to bypass this if they are familiar with Android, etc. We want them logged on to the app only, not to both. Any thoughts as to how I could accomplish this with either Android or my own server(s)?
Again, thanks
Update 2
Okay, this doesn't look good to be honest"
510,where can i find my pin?,"['find pin', 'find pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","(find an image of a pin) Find Pin? Find the pin's location (a point in space)? Find pins?

A:
doubtfully any of the below is ""best"". But some are better than the others, some might even be right...
So if it's a general question about finding ""pins"" in an application, then ""where can I find pins"" is not a good intent because it doesn't have the same answer for each of these cases.
But if you ask ""Where can you go to buy pin badges?"" then the question could be a single answer in this case, depending on what you mean with the word pins."
511,when do i receive my pin,"['receive pin', 'receive pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","pin number?

The best way I can imagine this is via a separate intent of type receivePin with an array of the pin numbers, but then, how do you handle the situation if you get multiple pins? I mean that if, in your application, you would want to get only one pin, then you'd have to send multiple receivePins requests and ignore the results. That will of course lead to an unbalanced situation.
I have looked at this question, which seems to suggest that this scenario is possible, as far as I've read. But my question is, when you only want one, is there a way to do this in one API request? And how would you solve this situation? Or is it perhaps not possible because it's not mentioned in the documentation?  
Update:
There has been some confusion because I do not want a single pin; I want multiple (and of multiple kinds). I'm using the google home API, btw. Thanks for answering!  :D
(I just want my own code to work, no other applications to interact with)
Edit2: I just saw that someone posted code. I don't see how it works, though. So if someone could explain this to me (or point me at some documentation that explains it), that would really help me! Thanks again. :p
https://developers.google.com/assistant/sdk/reference/v2/conversation
{
 ""inputs"": [
  {
""payload"":""You need to confirm your pin with your Assistant. ""
 },
 {

 ""payloads"": [""pin1"",""pin2"",""..""]

 }
]
,
}
That code would be my input. If I were to have that on my app, I would call it like this: ""pin_intent"": ""receive pin"". But if I could get away with getting only ONE pin - in that case ""get pin1"" (the first pin), and not ""all pins"", I think it would work nicely.  Does something like that exist? Do I have any other options (I'm open to all suggestions)?
Thank you again for all the answers, and for any help!
:p  :)
P.S.: I haven't yet seen a good response to this,"
512,help me find my card pin!,"['find pin', 'card pin', 'find pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","If a card PIN can be either a pin number (e.g. XXXX XXX XXX, where XXX are the last four digits in a credit card number) or an alphanumeric sequence that can change when the card is recharged, what is appropriate? 
For simplicity and to avoid ambiguity, let me assume the input to the algorithm will always be a numeric sequence (card PIN) that is always exactly 10 characters in length.
I would prefer to keep the scope of the intent as generic as possible. That means that the question should address both card pins and pin numbers. But I am open to solutions which require knowledge of any additional details about the problem, and I would hope that answers would also not assume such additional knowledge. I know, for example, that many cardholders will use a number of digits to represent the pin on their card. If the answer would have to be specific, I assume that a solution which uses cardholder's knowledge would be out of scope.  (E.G. ""What is your PIN?"" or ""I need your pin to recharge your card."")
Some of my own thoughts regarding this, which might or might not be useful for this question, are:
Card PINs are always 10 digits long, but pin codes may have anywhere from 4 to 12 digits. The number in use may change during the lifetime of a particular card, so for simplicity we are assuming a constant pin code throughout the lifespan of this card holder. Thus, a PIN is a 10-digit constant and a PIN is 10 alphabetic characters. However, an 8-character pin might have some characters common to both PIN and PINS, e.i., XXXYYYZZZZ. A PIM is 6 digits of alphas, XXXYZ, 6 alpha-numerical, YYYZ or something along those lines. This would not allow pin changing, only pin resetting. It would however, allow the use of XXX1Y and XXX2, with the alfas reset to one or two each time. Note that PIN-like and PIN are two different ways of using 10 alpha characters for something other than a password. While both are valid and acceptable, they have different meanings: with PIN, it is only the numeric part of your code that changes, while the PIX stays the same, regardless."
513,is pin delivered separately?,['delivered pin'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","delivered, pin, delivered. The first three of these are fine, but the latter, which is more generic, seems wrong to me.

A:
The first of the four options you listed seems to be correct.  
If we were to add another example:  What does he/she/it do in this picture, is he delivering the pin or is she delivering it?  This doesn't seem to fit into the three examples that you provided. It seems more of an example and a question for an answer. If we remove delivered from the sentence, we should get a different meaning. For instance, the answer could be yes or no, or it could mean deliver or pin. In this sentence it probably means deliver."
514,i can not find my card pin,"['find pin', 'card pin', 'find pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","A:
It seems to me that this is a perfect instance of a ""redundant intent"".
Your first, and most likely intended, intent is: 
card_pin
   find card_number_or_password_to_authenticate
And this would match all your examples except: ""My card PIN is 1234 or 6789"" (the ""or"" is not redundant because it could be both 12 and 789.)
So, you could remove your last intent (card pin) because if this intent doesn't exist any more, then the user can't make the error. It doesn;t really make any sense to have this as its own intent. You can also remove ""can not"", because the meaning of this phrase is ""I cannot"" - the ""i"" would imply an ""are"" or ""is"" intent instead."
515,what do i need to do for a pin?,['do pin'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","What do I (we) do? what is a pinned post?

If we could find an intent that would get most questions closed, that's a good thing. However, I feel that the current intent ""do pin?"" is not well specified. That is, there are no good reasons why this intent should not exist. There is an obvious intent: ""What do you (I) need for an answer to be pinned?""
– Daniel R HicksJun 2 '15 at 8:31
Edit: to add clarity as the comment below mentions, i would also agree that there is no need at all to create an entirely new intent for pinned questions. This is because the existing intent is pretty good already - it just needs a more accurate tag.
However, the new tag ""Pinned"" does need a description, which is why i posted this question. I think it's clear how to use the tag and what it covers. If you disagree, please explain why. Also, this is about ""what is needed to make an existing question be treated differently to the same question posted later"". The description of the intent needs to match this. As it stands, it doesn't quite match (and that is my question).
What exactly do we do about questions that are already pinned? There are two possibilities: (a) leave them as-is or (b) unpin them. Option (B) is preferable (IMO) because it makes the site cleaner and doesn’t clutter old questions with the pin-flag. The question in my example is tagged ""pinned"", which would be redundant if we unpinn all questions tagged this way in the first place. So that part of my suggestion is to un-pin those questions automatically (when this proposal is in place, not now). If users don't want to unpine the questions, they can unmark them from the proposal. They will not be taken off the front page. (See the linked question for further details.) What this does is reduce the number of “pin-flags”. A pin should be used to mark an old question that needs updating or clarification. It seems counter-intuitive that an updated question would use a tag that means the opposite. An updated (or re-opened) question should use whatever tags apply to that question, whether those tags have been"
516,why can't i find my pin?,"['find pin', 'find pin']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","find_pin? retrieve pin?, and pin_retrieve?

I've read the documentation but am still confused.
From: http://docs.intuit.com/solutions/data/integrate/cloud-platform-data-access-sap/guide/intro-sdk-architecture-and-design/section-intents: The intent can be defined by the developer through the SAP Cloud Data Access client. In this case, the intent definition should specify the resource type and the action. To determine what actions a resource supports and to define the correct intent for that resource, use the Resource Type and Object Name or Resource Key. For example, a “Customer” resource can include actions such as create, delete, read, and update. These actions correspond to specific intent definitions that you can assign to an Intent resource. The Intent object contains the type of request, action, object, method, data, or any other property to which an action is attached. You can create or delete the Intent by supplying the appropriate parameters. A sample Intent definition for a customer resource is:
""customerIntent"": {
“name int name: ‗string’,  ""‌​description  ‍‏  ​  ‎‬‘‥‮„  ™‖‚‰‹›‵‼—‾‶‷‣‭‴‸‽™‪′″․ ‧ …※‱ŀŇÜ‡•†‫#‟⁂‒•⁃⁇⁆⁊⁋⁌⁍⁗⁛⁜⁝⁞ ¤µⁿ⁾⁷⁹⁺⁸⁼⁻²‿≣Σ≤∩≈∧∨→↔←⇒②⍴⌈⊲␀⬛―⧆⠂⩲◆□
}"
517,can you let me know if visa is among the card scheme assignments?,"['scheme assignments', 'know assignments']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","find out the cards scheme assignment's assignment? get to know the credit card assignment.

The best answer would be intent that is not mentioned. In this situation, the intent is simply to find information, which is why the prepositional phrase can be dropped from the sentence. I don't have to get the visa cards, since this is already stated in the verb phrase. If I wanted to talk about my card schemes, I could have said: ""I want to go with Visa.""
–
Pete ClarkJan 30 '11 at 20:43
Modify to this:
""What is your card payment? Is it Visa?""
I'm not entirely sure, but I think you are correct. However, you could also be speaking in a general sense. For example, we might say: I prefer Visa, Mastercard, and Amex. These terms refer to a specific card company, where the first term is a company identifier."
518,do you use mastercard or visa?,"['use mastercard', 'use visa']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Is there something about this particular uttering that makes it appropriate to classify as a 'do... -use...' utterement?

I'm interested in this. Can you help me understand this? Are there more examples of this than in the previous question? Thank you all
-Mateus
---
This is a discussion on The best way to ask a question about intent... within the Ask Different Help forums, part of the Apple Help category; For example:
The utterances below can be used as either an 'I wish to' or an' I intend to'. What's...
(discussion)
#2: http://www.askd...
..."
519,is it possible to get a visa here?,"['get visa', 'get visa']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","(intended to cause a change in circumstance) get visas? Get an entry visa.
Get a residence visa
(The other option, to a lesser extent, would be to ask for help from someone who has a residency visa - but this is a lot less relevant in the example, as it seems to require the agent to know about the person's residence status, and it's unlikely they do. And the question itself seems more likely to be phrased to help the OP with their situation, rather than asking for visa advice, which I think may be more common.)

If the answer to these questions is that they can't tell, it may well be that there's no one best fit. But I'd be interested in what the community thinks. I feel that we've already determined the general intent (it's to change a circumstance, for example because it means that the speaker doesn't have a job in that country) - it should be possible, though not trivial, given the information you've given (you've said that you're a Canadian citizen, have the right documents, don't want to spend money), to determine with some certainty (or near certainty) whether it will be allowed and, in any case, whether you'll need the extra visa (the answer for the latter is probably no, but that doesn´t change the fact that a second visa application is involved). So I'm not sure how the answers to the questions will differ."
520,how can i top up my account with a card?,"['top account', 'top card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","topcard topup? I'm not sure how to determine that... Is there any best practice for this?

Re: Given the utterly useless use case of ""top up account"" as an utterances, how should i decide on the most useful intent? Which of the above, and if no answer is given, which one would be the first one to appear? Is it even the right method for such a task? How should I proceed? Should it be done at the beginning, at least with one, maybe two sample utterations and see which ones are most used, or does this process of selecting the intent require a lot more testing, because the sample might be wrong? The same applies to ""account"".
I can't find any good sources on this kind of thing, I can find people saying this is done by just looking at how much data you have on your account but the data isn't a measure of which intent is used. Any tips would help greatly.
Thank you. 
P.s
What if I have a ""topping account""? The intent would still be same, right? Or are intents determined solely by the context or what you tell it? If that was the case, this could be a big help for me. I don't know. But I do not want to go back to the original model, it seems so wrong. Should I just make my own? Please help. Thanks. This is a really important question, thank you for your help, i've been reading a LOT on how intenst are determined, but none of them were helpful in my specific case. :\
EDIT:
If there aren't any intes defined, then how would i know what to do? That would mean I'd have to make an intent for every utterment, would it not? :|
(This is how people do it, by having ints and interes defined. Is that right?)
Please help me on finding a source. :)
Thanks. (I hope you read this in the future.)
And if it does not help by answering my questions, please just tell me what other things to consider and why. Thank you so much. And i hope to see you in another thread. =)
Here's a link where people ask questions just like this. https"
521,where is my money i was using my card and it disappeared,"['using card', 'disappeared card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Is one of these (or a combination of more than one) a better fit than the other(s)? Why? The card was not physically lost nor destroyed. It was simply hidden so that I wouldn't realize its disappearance. I don't mean to imply fraud or theft.
–
KerrekJun 24 '10 at 1:22
•
Share
Tweet
(1) disappeared with money - disappeared
+
Use a money card
2
1
-
Where is your money? - I was used the card to buy something (a bottle of milk etc) and I realised it was gone. The best thing to find out what happened to the lost money
is the bank
3
0
no answer
I need to return a lost item
4
5
lost wallet
i was wondering if my wallet got stolen
where i left my bag
if the wallet is in your bag, i want to know where. If its in the pocket
of your friend, id rather not know. Where it is is more important. Also id like to
know if it still has all my stuff in it. This is all I can think of right now, but ill get
to more later
If i lose my phone, it would be really helpful if I could get it back. (If my wife gets it,
theres no need.)
my money's been lost, is there any point in me reporting it? I'd like my cash back but
there is no hurry, and my bank will let me know if they find my credit card, so it's not
like I need the cash
My credit cards were stolen so I lost them. Do I report it to my insurance? And if so, to whom and what insurance. Will my identity be protected? (I dont know anything about credit)
The police will track the credit car
Do they get the information from the police or insurance company? or both? If the cards are
stolen
6
16
Credit Cards
7
14
Bank
8
13
Cred Card
9
12
Lost money on a card with cash and a credit line. Card stolen. Now
missing all the info on cards. Lost credit info. Does my info show
anything? Can I get"
522,how can i top up by card?,['top card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","top one card?, top two cards?, etc.? How are the most appropriate ones different from one another? What are some of the pros and cons to each choice?
======

I'm going to use the top x cards meaning in the sentence you've given as the
example, but I'd guess they're all equivalent. The best way to find it out
without asking people is to experiment. Say you have two choices to make, and
there's just no good answer in English for both the choices:
[http://pastebin.com/Qr3QQ4hE](http:http:\/\/pastbin.me\/Q\r\2hQq4heE.txt)
(that's the first one I tried, I didn't bother to try more because of lack of
time).
   __
Now you know:

  1. Which of them has more pros?

 _This is an easy task, just go back and review the options from the previous
task and choose which has the fewest cons._
 __

 2. If the above is too tricky, do the simpler one.

 __ _You can probably see the pattern there, so I 'll give an example._ _If
the two most obvious answers are both good, choose the one without an
unnecessary verb._ __ (the one with the second choice is 'to add two
card'(1), and the other with 'two to' has fewer cons)

 3. Now that one's done, go to option 1 again.
__ _What does this mean? It means the answer has changed, you don't want to
choose just the obvious anymore._"
523,what is the process for using my credit card to transfer money?,"['transfer money', 'credit card', 'transfer money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","My current answer is to say that none are the right intent. I am unsure how to answer the first part because it’s such a wide question. However, for the second part, I would say no because I don”t see any intent for transferring a credit-card-balance.
–
I think a more appropriate question would be:
“What is our process of using your credit cards to make a purchase‘. Or: “Which is my best suited Intents for this„
The answer to the latter question is that you must go in context to your business model. If you have many people using their creditcard to perform purchases in your system you might want to build a system to detect that (I guess you could add some Intent detection to that, but that would likely require a lot of work). If your model is not complex then you can use the Intent Detection for your own purposes."
524,how do i top up my card using your app? i'm new to this,"['using app', 'using app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","using a card?

The following are all variations of ""How do I top-up a debit/credit card?"". I'm looking for an answer that is:
-most concise
Best Practices
If this question is too broad, please feel free to vote to close. If not, I'd appreciate your help.
Thanks,
Catherine
EDIT - Clarifying my question: ""Top-Up"" vs ""top-down"": What I mean is that in the US debit cards have a ""low limit"" at the start (e.g. $3) and you can ""reload"" that amount using ""automatic top ups"". The ""auto top off"" feature is not the same thing as ""how do top my debit card down"".
I've posted the answers so far that I've come across - I'll accept the one that gets more votes. Also if anyone has a better suggestion - feel welcome to provide one!
A. Top up an existing card with the app B. Add money to a new (or existing if I already have the balance) card by pressing a button in an app C. Receive money from a wallet with a linked debit or credit card
Also, thanks for the help in advance! I look forward to seeing more answers. 
NOTE I don't see an option for ""using a connected card"". Is this out of the question and I just missed it? I can add money using the option ""add to wallet"" - is this the right option? It seems like ""get money"" is closer to what is required. Thank you. Catherine
UPDATE 2: This has been closed as a duplicate of an unanswered question which only covers the case of receiving money. I am now asking a separate question - if you read this thread, see also: https://stackoverflow.com/questions/31754094/can-we-get-money-or-transfer-from-app
Many thanks,   I think a lot of people are getting confused by this - there are a few different ways to top -up your card but only one (get/transfer money) is supported by Apple. Thanks to the community and those who have answered - you've really got me thinking about this! :)
(Sorry for all the edits in a relatively"
525,can friends add to my account,['add account'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","add friends

If there's a way to find that out with Natural Language Processing, that would be awesome.
Thanks
P.S. I'm not looking specifically at English. Just wondering whether there are methods for finding the right intent in many languages. 
EDIT: To make it clear: I don't want to just use any tool, because I want it to be able to handle a large variety of languages including Russian, Chinese and Arabic. Not just English, I also want my system to work in those languages
Also, it's important that I find out the correct intent using an automated way of doing so, rather than going through hand written code. Because the intent could be ""change password"", ""send message"", etc. And I'll definitely want that to happen with an NLP system. That said, my question is about the use of Natural language processing in the task of intent identification. Also, this isn't to make up rules. This is to build a system that helps my users to do stuff. So this system is not supposed to tell me ""I don’t know, but it appears you meant to ask the second option"". Instead, the system can do that. If I ask for some intent then the rules should tell us which intent is appropriate. We'll use the appropriate intent to guide us in our work of building the application/system. For example, to change password you would ask: How do I change my password? This should guide our system in creating a method to perform that action, which can be called when the user invokes changePassword
Now I might get a lot of different results. Like ""how do we change our password?"" and the results can even depend on the language: in Russian it could give the answer like ""You can”t do it in English because in that sentence the ""to"" verb is transitive. But in German it might say ""How do you change the password if you can't do so yourself""
So I guess I am still looking for a general way that does not depend specifically on English/German/Russian/Spanish etc., but on finding this out from any given language. Maybe there already is a rule that says something like: the verb in question needs to end with the preposition ""for"". If that is true then it works regardless of the given input, regardless on"
526,can i top up using my car?,"['using car', 'using car']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","charging car?, topping up car, topping off car.
Is any one a better fit than the others. If so, which one? Is it the 'can' aspect that makes one better, or the preposition? If you could please elaborate.  
Edit: the answer is none of them are very good in the general case. They are all more or less specific to contexts that are well defined in practice. That is not to claim they are not applicable in some very special situations. Just to say that they have a very small scope. In practice you'd have to define very well what those situations are, so they fit well."
527,why can't i see my topup in my wallet anymore?,"['see topup', 'see wallet']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","How do i do a simple boolean query between the two?

i'm trying to write a bot for a chat. It uses node.js to communicate with the bot server running on a different machine. The bot runs on localhost:8080. I have two different methods for connecting the clients. On one, the client sends a POST message to the server. If that message is recognized to be a valid message, it calls a callback function and sends it a message.
When i try this, i'm receiving a GET instead of a PUT. How can i fix this? I'm new to node and have no real experience in server/client communication. Also, should it be possible to send multiple messages to a single function? And lastly, when i send the request i get a 404 error, which indicates that the method is wrong or it's not even called, but it is. Am i doing any mistake in the code? Thanks. (I have removed the error checking for privacy)
<!DOCTYPE HTML>
   <html lang=""en"">
 <head>

  </head><body> 
 </body><script type=""text/javascript""> 

 var request = require('request');  // require for the package  request
 var https = request. https  ; // if you are using https

 function callback(err, respone, body)

 {

 if (err) {
 console.log('The request was errort');
 }

 console.log(body);  }  function get()  { var myURL = 'https://localhost:8443/sendMessage' + ""?token="" +  ""123"" +""&message=""  + encodeURIComponent('test'); console . log(""GET request sent"")  var options =  https. get(myBOTURL); options.on('end', function(response)  callback('success', response, response.body)); } function post(message) //message should be something like {""message"": ""hi""}
{var post_data = ""token=123&body=""+encodeURicompenetor(JSON.stringify( message ))  console log('Request sent'); var postman  = https.post"
528,use credit card to transfer money,"['transfer money', 'credit card', 'transfer money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","use Credit Card to Transfer (money)
  use Credit card transfer (Money)"
529,how do my friends top up my account,"['top account', 'top account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","top it up? I’ll top my up (or top) the account up! I want to top (my) account(s) up. I am happy to see that my friend toped up her account

What do you mean by “top up”?
If the questioner means topping the level of the ‘my‘ account, then this is a request for an increase in level.
Otherwise, the sentence seems grammatical, and is most likely referring to topping up your bank balance. ‐ ʘᴏᵓᶜ
It should be noted that the word top in ’top it down“ (to lower the price) and ”top to bottom„ (from top to
bottom) (both Oxford Advanced Learner‟s Dictionary) has no other connection to the verb top except that of an adjective,
and has the same etymological roots as the term topping. (Oxford Advanced Dictionary). ː ᴇῆ
(
ʂ᷅ᱷ᳦) ɪɴᵁᶅ, (top, ͜ʀɑ̄ᬳɢ) ᷀ʟɭ ƃ̆ᧇɯ,ɣᛅ,ᵃᜀᚋ. 
This may be because it refers more to money than to a position, like in
‭ᕚᗢᖽ៥, ‫ᐋᑭ (Ꮟ‚), ″ሽ ጠ, ሙ‬Ꭵ. ᜥ
The word ‑up‹ or ‹top› refers to an angle that increases the distance from a lower to higher level, with or without any reference to position (as in ̓up, ↔  ↓, ↑, top, down↑). However, there may also be other references to ‭position‮ that have been omitted, as in a sentence that begins ‒Top, up to me,‫ ‬ʔគʎᔖᥙ, or a phrase like to be at the"
530,i followed the instructions to transfer money using my card but then the money disappeared and i don't know what happened,"['using card', 'happened money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","The example sentence:
She followed instructions of the company to buy stock using her card.
This is my understanding of what the ""the best fit"" (from http://www.oxforddictionaries.com/us/definition-en/happened):

1 : something that is said or is supposed to have happened
2 : a situation resulting in something or someone happening : an event that you did not see or that did 
  not happen."
